name,bestRating,gamesPlayed,won,lost,winRatio,topTens,topTenRate,topTenWinRatio,killRating,highestKills,totalKills,headshots,headshotRatio,assists,k/d,vehiclesDestroyed,roadKills,longestKill,longestTimeSurvived,averageTimeSurvived,averageDistanceTravelled,damageDealt,weaponsAcquired
twitchtv_Zoveren,2164.446,68,36,32,52.9%,53,77.9%,67.9%,1793.897,12,307,78,25.4%,23,9.3,4,2,442.4m,36m 20s,27m 17s,6.32 km,"37,693",397
TwitchtvNerffy_,2152.391,77,19,58,24.7%,68,88.3%,27.9%,1503.125,6,161,43,26.7%,14,2.8,2,2,320.2m,33m 03s,28m 38s,8.99 km,"19,527",372
loveofgold,2148.446,146,21,125,14.4%,84,57.5%,25.0%,1583.149,9,370,98,26.5%,17,3.0,6,0,485.1m,33m 07s,24m 33s,6.19 km,"46,695",901
notHaACKINGtv,2140.732,124,28,96,22.6%,82,66.1%,34.1%,1558.187,11,291,65,22.3%,28,3.0,4,5,446.5m,35m 37s,25m 05s,7.03 km,"38,406",639
MattieJax,2126.574,147,13,134,8.8%,79,53.7%,16.5%,1563.018,8,226,52,23.0%,19,1.7,0,1,502.1m,34m 07s,23m 18s,5.96 km,"29,480",852
Bearsox,2138.802,97,12,85,12.4%,72,74.2%,16.7%,1439.367,6,133,32,24.1%,13,1.6,0,0,300.5m,36m 14s,27m 05s,8.92 km,"16,670",527
Ubermensch77,2109.363,119,29,90,24.4%,68,57.1%,42.6%,1788.164,16,492,331,67.3%,17,5.5,1,1,493.7m,33m 49s,22m 26s,4.37 km,"58,812",530
187killa,2102.333,59,20,39,33.9%,38,64.4%,52.6%,1835.283,11,268,90,33.6%,11,6.9,0,3,410.3m,32m 21s,22m 48s,5.04 km,"34,180",230
THEADDYISDADDY,2135.783,157,19,138,12.1%,98,62.4%,19.4%,1433.705,10,260,84,32.3%,16,1.9,0,0,374.1m,36m 19s,24m 39s,6.91 km,"30,371",972
prolink007,2060.55,66,10,56,15.2%,40,60.6%,25.0%,1567.563,9,148,43,29.1%,15,2.6,0,1,402.5m,33m 37s,25m 18s,5.78 km,"18,381",366
Bricewg,2077.615,73,19,54,26.0%,43,58.9%,44.2%,1592.359,9,246,78,31.7%,12,4.5,0,0,450.0m,35m 39s,24m 34s,6.56 km,"30,114",492
VissGames,2059.943,78,20,58,25.6%,32,41.0%,62.5%,1813.753,12,358,103,28.8%,15,6.2,4,0,437.0m,33m 05s,18m 27s,4.42 km,"39,117",414
Robinowitz,2080.294,99,16,83,16.2%,66,66.7%,24.2%,1277.804,4,76,17,22.4%,12,0.9,0,0,317.3m,36m 15s,26m 20s,6.37 km,"10,033",400
